Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,27720.000000,28040.000000,27600.000000,27960.000000,24097.462891,23142150
2016-06-08,28380.000000,28380.000000,27780.000000,28120.000000,24235.357422,18808100
2016-06-09,28160.000000,28600.000000,28120.000000,28600.000000,24649.052734,25768750
2016-06-10,28480.000000,28500.000000,28080.000000,28120.000000,24235.357422,14484050
2016-06-13,27920.000000,27920.000000,27240.000000,27420.000000,23632.058594,15248300
2016-06-14,27420.000000,27720.000000,27380.000000,27600.000000,23787.191406,12273050
2016-06-15,27700.000000,28320.000000,27660.000000,28260.000000,24356.015625,15334450
2016-06-16,28260.000000,28340.000000,27900.000000,28180.000000,24287.068359,14621550
2016-06-17,28200.000000,28700.000000,28200.000000,28520.000000,24580.099609,16419700
2016-06-20,28540.000000,28960.000000,28520.000000,28620.000000,24666.283203,13515800
2016-06-21,28640.000000,28980.000000,28520.000000,28960.000000,24959.312500,10020550
2016-06-22,28920.000000,29000.000000,28620.000000,28900.000000,24907.601563,8948250
2016-06-23,28880.000000,28900.000000,28540.000000,28600.000000,24649.052734,11256300
2016-06-24,28900.000000,28900.000000,27200.000000,28000.000000,24131.933594,20552600
2016-06-27,28000.000000,28100.000000,27700.000000,27960.000000,24097.462891,11839000
2016-06-28,27800.000000,28080.000000,27580.000000,27980.000000,24114.699219,10718950
2016-06-29,28160.000000,28240.000000,27820.000000,27920.000000,24080.195313,10527050
2016-06-30,28160.000000,28900.000000,27940.000000,28500.000000,24580.429688,13671700
2016-07-01,28540.000000,29580.000000,28540.000000,29320.000000,25287.656250,14393600
2016-07-04,29280.000000,29480.000000,29020.000000,29320.000000,25287.656250,7995000
2016-07-05,29320.000000,29500.000000,29240.000000,29380.000000,25339.406250,7870350
2016-07-06,28940.000000,29040.000000,28240.000000,28420.000000,24511.433594,16749150
2016-07-07,28420.000000,29000.000000,28320.000000,29000.000000,25011.664063,11495200
2016-07-08,29000.000000,29500.000000,28980.000000,29200.000000,25184.158203,13498150
2016-07-11,29200.000000,30000.000000,29200.000000,29780.000000,25684.390625,14056800
2016-07-12,29980.000000,30100.000000,29200.000000,29280.000000,25253.158203,11024700
2016-07-13,29920.000000,29920.000000,29260.000000,29620.000000,25546.398438,10009900
2016-07-14,29620.000000,30000.000000,29520.000000,30000.000000,25874.140625,12430250
2016-07-15,30000.000000,30440.000000,29720.000000,30360.000000,26184.628906,11623150
2016-07-18,30360.000000,30660.000000,30000.000000,30660.000000,26443.371094,11567200
2016-07-19,30560.000000,30800.000000,30440.000000,30660.000000,26443.371094,10122250
2016-07-20,30660.000000,30840.000000,30480.000000,30800.000000,26564.115234,7773150
2016-07-21,30800.000000,30940.000000,30740.000000,30860.000000,26615.861328,8544700
2016-07-22,30120.000000,30560.000000,30120.000000,30320.000000,26150.130859,8585150
2016-07-25,30000.000000,30460.000000,29900.000000,30040.000000,25908.632813,7732500
2016-07-26,30000.000000,30620.000000,29960.000000,30600.000000,26391.619141,7228500
2016-07-27,30240.000000,30580.000000,30240.000000,30540.000000,26339.871094,6335050
2016-07-28,30660.000000,30720.000000,29960.000000,30140.000000,25994.882813,9503700
2016-07-29,30400.000000,31140.000000,30220.000000,30780.000000,26546.863281,14985600
2016-08-01,31380.000000,31600.000000,31200.000000,31360.000000,27047.103516,11515400
2016-08-02,31360.000000,31360.000000,30920.000000,30960.000000,26702.109375,8315800
2016-08-03,30960.000000,30960.000000,30340.000000,30340.000000,26167.375000,7504900
2016-08-04,30380.000000,30660.000000,30340.000000,30340.000000,26167.375000,7009950
2016-08-05,30580.000000,31280.000000,30500.000000,31220.000000,26926.359375,6958850
2016-08-08,31320.000000,31500.000000,31120.000000,31380.000000,27064.347656,11125150
2016-08-09,31480.000000,31580.000000,31140.000000,31340.000000,27029.847656,9023200
2016-08-10,31340.000000,31400.000000,30680.000000,30820.000000,26581.367188,12340350
2016-08-11,30820.000000,31180.000000,30520.000000,31180.000000,26891.855469,10533600
2016-08-12,31180.000000,31400.000000,30880.000000,30900.000000,26650.367188,10474850
2016-08-16,30900.000000,31520.000000,30900.000000,31360.000000,27047.103516,10843100
2016-08-17,31380.000000,31400.000000,31020.000000,31320.000000,27012.597656,7446450
2016-08-18,31340.000000,32880.000000,31320.000000,32800.000000,28289.056641,18327050
2016-08-19,32760.000000,33500.000000,32720.000000,33500.000000,28892.785156,16805150
2016-08-22,33480.000000,33840.000000,33180.000000,33300.000000,28720.294922,12612200
2016-08-23,33300.000000,33880.000000,33140.000000,33740.000000,29099.779297,11545700
2016-08-24,33600.000000,33640.000000,32720.000000,33060.000000,28513.298828,15938550
2016-08-25,32600.000000,33180.000000,32440.000000,32780.000000,28271.812500,14173800
2016-08-26,32120.000000,32460.000000,32060.000000,32240.000000,27806.070313,12058000
2016-08-29,32040.000000,32800.000000,31940.000000,32800.000000,28289.056641,8925750
2016-08-30,32940.000000,33420.000000,32660.000000,32900.000000,28375.300781,7849600
2016-08-31,32820.000000,32820.000000,32220.000000,32400.000000,27944.068359,20532200
2016-09-01,31660.000000,31760.000000,31260.000000,31740.000000,27374.837891,18790150
2016-09-02,31900.000000,32260.000000,31760.000000,31940.000000,27547.332031,8153000
2016-09-05,31800.000000,32300.000000,31700.000000,32120.000000,27702.576172,8383800
2016-09-06,32140.000000,32900.000000,31940.000000,32860.000000,28340.804688,7660150
2016-09-07,32960.000000,33040.000000,32420.000000,32420.000000,27961.316406,9591850
2016-09-08,32460.000000,32780.000000,32280.000000,32780.000000,28271.812500,12070850
2016-09-09,32220.000000,32360.000000,31280.000000,31500.000000,27167.845703,13258400
2016-09-12,29800.000000,30120.000000,29120.000000,29300.000000,25270.406250,26499350
2016-09-13,30160.000000,30980.000000,29900.000000,30540.000000,26339.871094,24717250
2016-09-19,30760.000000,31380.000000,30720.000000,31160.000000,26874.603516,22408150
2016-09-20,31180.000000,31760.000000,31180.000000,31700.000000,27340.337891,12921150
2016-09-21,31900.000000,32020.000000,31520.000000,31840.000000,27461.083984,10509050
2016-09-22,32000.000000,32820.000000,31980.000000,32360.000000,27909.568359,11429950
2016-09-23,31640.000000,31960.000000,31320.000000,31420.000000,27098.845703,18299650
2016-09-26,31420.000000,31920.000000,31280.000000,31360.000000,27047.103516,14524800
2016-09-27,31000.000000,31500.000000,30660.000000,31380.000000,27064.347656,9834400
2016-09-28,31080.000000,31460.000000,31080.000000,31340.000000,27029.847656,8706400
2016-09-29,31460.000000,32380.000000,31440.000000,32000.000000,27599.080078,11397550
2016-09-30,31800.000000,32300.000000,31700.000000,31960.000000,27564.578125,11762700
2016-10-04,32200.000000,32480.000000,32120.000000,32280.000000,27840.570313,13053100
2016-10-05,32020.000000,32520.000000,31940.000000,32380.000000,27926.820313,12470450
2016-10-06,33920.000000,34000.000000,33340.000000,33820.000000,29168.775391,29558150
2016-10-07,34000.000000,34320.000000,33800.000000,34120.000000,29427.521484,26050550
2016-10-10,33000.000000,33780.000000,32560.000000,33600.000000,28979.033203,25293300
2016-10-11,32000.000000,32500.000000,30900.000000,30900.000000,26650.367188,38427150
2016-10-12,29900.000000,30900.000000,29880.000000,30700.000000,26477.863281,39088550
2016-10-13,31000.000000,31620.000000,30900.000000,31140.000000,26857.355469,21864550
2016-10-14,30960.000000,31760.000000,30940.000000,31540.000000,27202.343750,14158950
2016-10-17,31300.000000,32040.000000,30760.000000,31800.000000,27426.587891,12785200
2016-10-18,31440.000000,31900.000000,31440.000000,31780.000000,27409.332031,10384500
2016-10-19,31580.000000,32860.000000,31500.000000,32500.000000,28030.318359,15444550
2016-10-20,32520.000000,33020.000000,32180.000000,32400.000000,27944.068359,10330450
2016-10-21,32120.000000,32260.000000,31760.000000,31780.000000,27409.332031,10477500
2016-10-24,31860.000000,32160.000000,31800.000000,32160.000000,27737.078125,9289950
2016-10-25,32000.000000,32080.000000,31840.000000,31940.000000,27547.332031,9866100
2016-10-26,31940.000000,31980.000000,31240.000000,31340.000000,27029.847656,10534000
2016-10-27,31420.000000,32340.000000,31120.000000,31460.000000,27133.345703,14117000
2016-10-28,31600.000000,32280.000000,31600.000000,32280.000000,27840.570313,10214200
2016-10-31,32320.000000,32780.000000,32220.000000,32780.000000,28271.812500,12067200
2016-11-01,32600.000000,33040.000000,32240.000000,33040.000000,28496.052734,10347400
2016-11-02,32800.000000,33040.000000,32620.000000,32860.000000,28340.804688,10099250
2016-11-03,32600.000000,32800.000000,32120.000000,32320.000000,27875.066406,10341850
2016-11-04,32100.000000,32680.000000,32100.000000,32540.000000,28064.814453,7103850
2016-11-07,32940.000000,33000.000000,32680.000000,32800.000000,28289.056641,7661900
2016-11-08,32980.000000,32980.000000,32700.000000,32880.000000,28358.054688,5417450
2016-11-09,32920.000000,33140.000000,31820.000000,31920.000000,27530.083984,15683600
2016-11-10,32600.000000,33000.000000,32360.000000,32980.000000,28444.306641,11795350
2016-11-11,31700.000000,32360.000000,31700.000000,31960.000000,27564.578125,12836800
2016-11-14,31900.000000,31920.000000,31040.000000,31060.000000,26788.355469,15133300
2016-11-15,31060.000000,31620.000000,30780.000000,30780.000000,26546.863281,13665700
2016-11-16,30800.000000,31280.000000,30800.000000,31160.000000,26874.603516,13308200
2016-11-17,31100.000000,31520.000000,30900.000000,31360.000000,27047.103516,7870550
2016-11-18,31640.000000,31760.000000,31400.000000,31720.000000,27357.587891,9460750
2016-11-21,31300.000000,32120.000000,31300.000000,31860.000000,27478.335938,8180200
2016-11-22,32140.000000,32900.000000,32000.000000,32800.000000,28289.056641,9751100
2016-11-23,33220.000000,33220.000000,32520.000000,32980.000000,28444.306641,12668600
2016-11-24,32980.000000,33040.000000,32660.000000,33000.000000,28461.548828,7757150
2016-11-25,32820.000000,33040.000000,32660.000000,33000.000000,28461.548828,6276900
2016-11-28,33000.000000,33620.000000,32800.000000,33540.000000,28927.283203,13294050
2016-11-29,33800.000000,33960.000000,33380.000000,33540.000000,28927.283203,18081300
2016-11-30,33540.000000,34940.000000,33540.000000,34920.000000,30117.498047,28535200
2016-12-01,34800.000000,35060.000000,34660.000000,34980.000000,30169.244141,15535350
2016-12-02,34480.000000,34760.000000,34140.000000,34540.000000,29789.757813,15352950
2016-12-05,34340.000000,34680.000000,34220.000000,34360.000000,29634.505859,8484600
2016-12-06,34440.000000,35200.000000,34400.000000,34960.000000,30151.998047,14001800
2016-12-07,35040.000000,35480.000000,35040.000000,35440.000000,30565.974609,9603650
2016-12-08,35980.000000,36020.000000,35520.000000,35800.000000,30876.468750,16462550
2016-12-09,35900.000000,35900.000000,35400.000000,35600.000000,30703.980469,10652450
2016-12-12,34660.000000,35360.000000,34660.000000,35040.000000,30220.996094,11414450
2016-12-13,34620.000000,35440.000000,34620.000000,35320.000000,30462.488281,11684450
2016-12-14,35560.000000,35680.000000,35280.000000,35540.000000,30652.224609,7455100
2016-12-15,34820.000000,35500.000000,34820.000000,35180.000000,30341.738281,5773550
2016-12-16,35300.000000,36020.000000,35200.000000,35860.000000,30928.214844,11747700
2016-12-19,35620.000000,36380.000000,35620.000000,35900.000000,30962.718750,5435800
2016-12-20,35920.000000,36400.000000,35840.000000,36240.000000,31255.958984,7615200
