user,location,tweet
Jeff10103,"Quindio, Colombia","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
Jeff10103,"Quindio, Colombia","RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
Covioriente,Vereda Vanguardia,¿No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te… https://t.co/aPVrlBIOw7
RosibelDeCastro,"Miami, FL","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
WilsonR89079592,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
MaryVas29965801,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
PAPUCHOREY,VALLEDUPAR,RT @emisoraejercito: Nuestros héroes del @COL_EJERCITO inician el día con toda la disposición de seguir trabajando por la seguridad del paí…
EduardoArenass,Bogota-Colombia,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
fabiolasocar,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
karymorenos,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
SoyUnCacahuateh,"Cali, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
premisa34,"Bogotá, D.C., Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Cormagdalena,Colombia,RT @MinTransporteCo: Detente✋ y tómate un momento para enviarle un mensaje📨 de agradecimiento a nuestros #HéroesEnLaVía que en medio de est…
Dylanvallejo,"Bogotá, D.C., Colombia",RT @Supertransporte: ¿No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te inv…
SamuelGutiLos,Medellin - Neiva - Bogotá ,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
santosm8a,Bogotá,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
AnestesiologOp,Colombia,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
hmario72,,RT @AVA_antioquia: Un agradecimiento muy especial en todo el país a nuestros #HeroesEnLaVia siempre construyendo país y atentos a toda cala…
LuisDanieVargas,"Cartagena, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
hmario72,,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
camiloortiz44,,RT @Yulisa_kw: #Héroesenlavia CONSTRUYENDO PAIS! https://t.co/SccPCqTUpz
cock_jl,Colombia,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
BettyGdeQuiones,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
Soros004,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
ClaraInesMora15,"Bogotá, D.C., Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
claudia13273318,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
BIBI_PARLA007,Bogotá D.C.,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
samuelabogado,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
UVRioPamplonita,,RT @ANI_Colombia: ¿No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te invita…
UVRioPamplonita,,RT @ANI_Colombia: 👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta #HéroesEnLaVía 🛣️.…
jonathangn_,"Ibagué, Colombia",RT @carlosvargas182: Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento de…
SandraMCZ,,RT @carlosvargas182: Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento de…
carloss_agudelo,medellin,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Mariape_28,"Montería, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
ma_camiladiaz,"Bogotá, D.C., Colombia",RT @carlosvargas182: Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento de…
luchador7004,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
ATATURK06465097,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
madeagonzalezl,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
h_candamil,"Bogotá, D.C., Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
farleyparra1,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
ASubirath,En algún lugar.,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
abogalex3,"Los Angeles, CA","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
CiroARodriguezP,Colombia,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
rauldonadoosio,EREDÉ S.A.S.,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
salhaj,Stokholm  Sweden  | ,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
guibelfor,Ipiales - Nariño,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
udssontodo,Bogota - Santa Marta ,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
miejebienes,ejecafetero,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
albamarinamessa,Usa,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Lupita_Vieira,Colombia,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
JulianaPalacioB,"Medellín, Colombia",RT @carlosvargas182: Hoy destaco el trabado de estos #HéroesEnLaVia - transportadores y militares. Ellos hacen posible el abastecimiento de…
serranofotogra,"Bogotá, DC, Colombia",RT @emisoraejercito: Nuestros héroes del @COL_EJERCITO inician el día con toda la disposición de seguir trabajando por la seguridad del paí…
APELLBaq,Barranquilla - Colombia,Valoramos la labor de los transportadores y los #HeroesEnLaVia para garantizar las necesidades básicas de todo el t… https://t.co/U9dWwXAgTd
CRutadelCacao,Colombia,Envíales a los trabajadores de las concesiones viales un mensaje 📨para destacar lo importante que es su labor y por… https://t.co/Z87t59DQIq
DaroVlez1,,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
