user,location,tweet,sentiment,probability
cmilavargas,"Düsseldorf, Alemania","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…",Positivo,57
esteparomero1,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
sintraMosquera,"Mosquera,Cundinamarca",RT @utrans_oficial: #HéroesEnLaVía gracias 🙏🏻 @GoogleColombia https://t.co/zfW944ArWw,Positivo,88
herreratgm562,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
abogadodimas1,,"RT @Supertransporte: #PorTuVidaPorMiVida En la aplicación CoronApp-Colombia puedes registrar tus síntomas y los de tu familia diariamente,…",Positivo,71
abogadodimas1,,RT @Supertransporte: ¿No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te inv…,Positivo,69
Jeff10103,"Quindio, Colombia","RT @Supertransporte: #PorTuVidaPorMiVida En la aplicación CoronApp-Colombia puedes registrar tus síntomas y los de tu familia diariamente,…",Positivo,71
Jeff10103,"Quindio, Colombia","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
Jeff10103,"Quindio, Colombia","RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…",Positivo,71
Covioriente,Vereda Vanguardia,¿No quisieras agradecer a los valientes que han llevado la comida a las ciudades por su compromiso con el país? Te… https://t.co/aPVrlBIOw7,Positivo,72
RosibelDeCastro,"Miami, FL","RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
WilsonR89079592,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…",Positivo,83
MaryVas29965801,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…",Positivo,71
PAPUCHOREY,VALLEDUPAR,RT @emisoraejercito: Nuestros héroes del @COL_EJERCITO inician el día con toda la disposición de seguir trabajando por la seguridad del paí…,Positivo,77
EduardoArenass,Bogota-Colombia,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…",Positivo,77
fabiolasocar,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
karymorenos,,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…",Positivo,71
SoyUnCacahuateh,"Cali, Colombia","RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…",Positivo,57
premisa34,"Bogotá, D.C., Colombia","RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…",Positivo,70
