user,location,tweet,sentiment,probability
Hadinadragonfly,,"""...por qué una Administración que hace un importante énfasis en la promoción de derechos en materia de género y di… https://t.co/MKUBAfdwct",Positivo,68
Unisur_Soacha,soacha ,"Horarios pico y género Soacha
#soacha #picoygénero #salud #COVIDー19 https://t.co/O3MJTN337q",Positivo,67
Claraimontoyame,,"@WRadioColombia @CarlosHolmesTru @mindefensa En Bogotá, sector del CC Diver Plaza, en Engativa... Es una República… https://t.co/DkZBMYFQ62",Positivo,70
calindignado,🅰️mericaDeCali 👺,"📌A este tonto @ElJuliSastoque se le olvidó el #PicoyGenero de la alcalde de su mismo partido 🤦🏻‍♂️
Definitivamente… https://t.co/kkie01IKHm",Positivo,74
JaimeCarvajalD,,"@LuisErnestoGL Tiene razón, es mucho más cómodo, agradable y rápido hacer mercado con esta medida de #PicoyGenero e… https://t.co/x3wdUwNtxN",Positivo,62
LaCarinosaNeiva,"Neiva, Colombia","⚠😷 #PicoYGénero empezó a regir en el municipio de Gigante.

📝➡https://t.co/t4PGsxjiqY

#Covid_19 #OMS #Huila #coronavirus",Positivo,68
Ambiente884,Bogota,"Corabastos aplicará medida de pico y género https://t.co/slUVUgD2lI 

#Ciudades 
#Bogotá 
#PicoYGénero",Positivo,67
RedMasNoticias,Colombia,"📺#EmisiónEspecial | Secretario de Gobierno, @LuisErnestoGL. @GobiernoBTA. 

""Ayer tuvimos 610 comparendos a hombres… https://t.co/nNFjCVJ1V1",Positivo,67
tato_arteaga,De la tierra,"El día impar salí a mercar y fue super rápido, habíamos pocos, las mujeres en casita y veo que el día de las mujere… https://t.co/9UFIUjPSU0",Positivo,67
nico_estupinan,"Bogotá, D.C., Colombia",Continuamos con @TransitoBta @PoliciaBogota  y @COL_EJERCITO haciendo operativos de control en 50 puntos de la ciud… https://t.co/ozIqzBxNRN,Positivo,67
reinolopez,COLOMBIA,@LuciaEBaena @NoticiasRCN @JuanLozano_R @RCNcazanoticias @elpatrullero_ @Bogota @GobiernoBTA @PoliciaBogota El… https://t.co/gpD1qz7Gic,Positivo,68
MaracuyaX,,@AlcaldiaQuibdo En el desayuno se sabe cómo será el almuerzoE el gobierno nacional y ustedes expidieron el sendos D… https://t.co/jJtRnbGTCC,Positivo,56
LuciaEBaena,"Bogotá, D.C., Colombia",@reinolopez @NoticiasRCN @JuanLozano_R @RCNcazanoticias @elpatrullero_ @Bogota @GobiernoBTA @PoliciaBogota El… https://t.co/byJ1LQEQlH,Positivo,68
Karolaaro,Bogota,Pues @ClaudiaLopez luego de ver lo que está haciendo con el #PicoyGenero y la forma solapada de actuar del centro p… https://t.co/r1mcz865Ub,Positivo,70
melchor_acevedo,Madrid,@ClaudiaLopez Actúe racionalmente y valore si el #PicoYGénero más que una solución creará problemas en una població… https://t.co/FXyNFLSOuC,Positivo,53
cerosetenta,Bogotá-Colombia,"El #PicoyGénero, implementado en Bogotá desde el 13 de abril, fue instaurada en Perú y anulada ocho días después po… https://t.co/xnQYQrVGGA",Positivo,68
Puerrres,"Melbourne, Victoria",@ClaudiaLopez Por qué no mejor desistir del #PicoyGenero lo cual no es sólo sexista sino además agresivo con la com… https://t.co/uIY2rPWdK7,Positivo,77
naniss04,,La medida de #PicoyGenero de verdad funciona o aún permite que muchas personas estén en la calle realizando sus dil… https://t.co/vMG50qLkUZ,Positivo,68
juanfelipearc11,,#PicoYCedula #PicoyGenero al genio que sugirió esta política pública se le ocurrió antes llamar a alcalde de Lima u… https://t.co/MhyIWS96di,Positivo,69
alunavil,#Co,Hoy día #PicoyGenero #CuarentenaNacional #Covid_19 #15Abr #Colombia https://t.co/JboicRA1zH,Positivo,77
Policia924FM,Colombia,"#AEstaHora le recordamos el #PicoyGénero en la Capital colombiana.
✅ Hombres día impar.
#YoMeQuedoEnCasa… https://t.co/3DCCGNRU5V",Positivo,70
RAPTORCOL,"Bogotá, D.C., Colombia",@rcnradio Wow @ClaudiaLopez te está funcionando #PicoYGénero,Positivo,64
Noticias666,Colombia 🇨🇴,@ClaudiaLopez Decisiones populistas como el #PicoYGénero q combinadas con el #PicoYplaca todo el día impide q mucha… https://t.co/I8F7vkDYiX,Positivo,67
allejo837,102525 - 753131,"@ElJuliSastoque Debe de ser porque solo debían salir las mujeres, por aquello de #PicoyGenero. Digo, no?",Negativo,53
DmocraciaLight,Colombia,@Putagoras Hola! Leímos a Hun y nos inspiró para hacer nuestro artículo #ladecisioninteligente de @ClaudiaLopez y p… https://t.co/Jb5PoPUz3U,Positivo,68
eddy_9227,,"@titaniavillalba @intiasprilla @ClaudiaLopez Primero espere, lo mismo dijeron del #PicoyGenero y funcionó.",Positivo,59
DmocraciaLight,Colombia,@esona_org Hola! Te invitamos a leer nuestra columna que defiende  la libertad de ser y exige la eliminación del #PicoyGenero en Bogotá,Positivo,66
JuanCamilo50,Bogota ,@ClaudiaLopez  siempre se ha sabido que la @PoliciaBogota  es la entidad mas heteronormada que vulnera y agrede los… https://t.co/YYmHEIvHvA,Positivo,71
DmocraciaLight,Colombia,@amaliaandrade_ @ClaudiaLopez Amalia. Fuiste una entre pocas que alzó su voz. Acá flexionamos porque  @ClaudiaLopez… https://t.co/Dsfdp9mADw,Positivo,67
DmocraciaLight,Colombia,"@YuliAnaRR1 Te invitamos a leer “La decisión inteligente de @ClaudiaLopez ” Alcaldesa, no olvide consejo dado a Duq… https://t.co/HYqASreHSC",Positivo,73
AldumarForero1,Colombia,La alcaldesa Claudia López no le bastó con contratar publicidad para ella en detrimento de la Salud de los bogotano… https://t.co/CmcSFsG71y,Positivo,64
DmocraciaLight,Colombia,"@ClaudiaPP2018 Te invitamos a leer “La decisión inteligente de @ClaudiaLopez ” Alcaldesa, no olvide consejo dado a… https://t.co/gB6zvq6gPB",Positivo,73
andresmarquino,Bogotá D.C.,La medida de #PicoyGénero ha contribuido notablemente a una menor afluencia de personas en los establecimientos de… https://t.co/WUf8rX0ldg,Positivo,67
