COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
882,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,LOCAL,11,1353900,315000,'15/06/2013',,'21/09/2013',INACTIVO
883,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,LOCAL,25,850000,239000,'09/08/2013',,'29/01/2020',VIGENTE
884,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,26,900000,239000,'09/08/2013',,'13/02/2019',INACTIVO
885,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,26,998980,239000,'09/08/2013',,'23/12/2015',INACTIVO
886,BUCARAMANGA,CIUDADELA REAL DE MINAS,BUCARAMANGA,CUATRO,APARTAMENTO,91,845370,239000,'09/08/2013',,'04/09/2013',INACTIVO
887,BUCARAMANGA,LOS PINOS,BUCARAMANGA,CINCO,LOCAL,12,3710180,0,'09/08/2013',,'26/09/2013',VIGENTE
888,BUCARAMANGA,FONTANA,BUCARAMANGA,CUATRO,LOCAL,27,936450,30000,'28/02/2013',,'13/07/2013',INACTIVO
889,BUCARAMANGA,FONTANA,BUCARAMANGA,CUATRO,APARTAMENTO,81,1059080,30000,'28/02/2013',,'26/02/2017',VIGENTE
890,BUCARAMANGA,CENTRO,BUCARAMANGA,SEIS,APARTAMENTO,29,476720,237650,'28/02/2013',,'18/12/2013',INACTIVO
891,BUCARAMANGA,CENTRO,BUCARAMANGA,SEIS,APARTAMENTO,33,318310,140800,'28/02/2013',,'17/05/2014',INACTIVO
892,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,36,570900,0,'20/04/2013',,'29/05/2019',INACTIVO
893,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,97,500000,0,'20/04/2013',,'07/02/2018',INACTIVO
894,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,11,550000,0,'20/04/2013',,'03/12/2015',INACTIVO
895,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,19,525000,0,'20/04/2013',,'05/01/2017',INACTIVO
896,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,81,634030,0,'20/04/2013',,'11/05/2013',INACTIVO
897,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,CASA,86,1565750,0,'20/04/2013',,'18/06/2014',VIGENTE
898,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,23,1121340,0,'20/04/2013',,'18/05/2013',INACTIVO
899,BUCARAMANGA,ANTONIA SANTOS,BUCARAMANGA,CUATRO,APARTAMENTO,51,975473,251700,'19/06/2013',,'22/02/2017',VIGENTE
